slot,arm,luna_side,terminal_cause,luna_outcome,player_turns,requests,luna_turns,tokens,backend_seconds,core_damage,heuristic_core_damage
MATCH-029,stepwise,red,CORE_DESTRUCTION,loss,9,14,4,210,1.2205560998991132,0,30
MATCH-029,strict,red,TEAM_ELIMINATION,loss,7,3,3,45,0.28941959992516786,0,0
MATCH-030,stepwise,blue,CORE_DESTRUCTION,loss,6,11,3,165,0.9940897999913432,0,30
MATCH-030,strict,blue,CORE_DESTRUCTION,loss,6,3,3,45,0.36980380001477897,0,30
MATCH-030,bounded,blue,CORE_DESTRUCTION,loss,6,3,3,45,0.3326149000204168,0,30
MATCH-031,strict,red,TEAM_ELIMINATION,loss,7,3,3,45,0.28002000000560656,0,0
MATCH-031,bounded,red,TEAM_ELIMINATION,loss,7,3,3,45,0.28296829998726025,0,0
MATCH-031,stepwise,red,CORE_DESTRUCTION,loss,9,14,4,210,1.3152187000960112,0,30
MATCH-032,bounded,blue,CORE_DESTRUCTION,loss,6,3,3,45,0.3367279000231065,0,30
MATCH-032,stepwise,blue,CORE_DESTRUCTION,loss,6,11,3,165,1.0253765000379644,0,30
MATCH-032,strict,blue,CORE_DESTRUCTION,loss,6,3,3,45,0.33098220004467294,0,30
MATCH-033,stepwise,red,CORE_DESTRUCTION,loss,9,14,4,210,1.3233660999685526,0,30
MATCH-033,strict,red,TEAM_ELIMINATION,loss,7,3,3,45,0.3040111999725923,0,0
MATCH-033,bounded,red,TEAM_ELIMINATION,loss,7,3,3,45,0.28687309997621924,0,0
MATCH-034,strict,blue,CORE_DESTRUCTION,loss,6,3,3,45,0.3427232999820262,0,30
MATCH-034,bounded,blue,CORE_DESTRUCTION,loss,6,3,3,45,0.3438905999646522,0,30
MATCH-034,stepwise,blue,CORE_DESTRUCTION,loss,6,11,3,165,1.0836397999082692,0,30
MATCH-035,bounded,red,TEAM_ELIMINATION,loss,7,3,3,45,0.3012346000177786,0,0
MATCH-035,stepwise,red,CORE_DESTRUCTION,loss,9,14,4,210,1.3110691000474617,0,30
MATCH-035,strict,red,TEAM_ELIMINATION,loss,7,3,3,45,0.2759704000200145,0,0
MATCH-036,stepwise,blue,CORE_DESTRUCTION,loss,6,11,3,165,1.1020003999583423,0,30
MATCH-036,strict,blue,CORE_DESTRUCTION,loss,6,3,3,45,0.3758292000275105,0,30
MATCH-036,bounded,blue,CORE_DESTRUCTION,loss,6,3,3,45,0.34115110005950555,0,30
MATCH-037,strict,red,TEAM_ELIMINATION,loss,7,3,3,45,0.2864232999854721,0,0
MATCH-037,bounded,red,TEAM_ELIMINATION,loss,7,3,3,45,0.3020074999658391,0,0
MATCH-037,stepwise,red,CORE_DESTRUCTION,loss,9,14,4,210,1.2768348000827245,0,30
MATCH-038,bounded,blue,CORE_DESTRUCTION,loss,6,3,3,45,0.32805239997105673,0,30
MATCH-038,stepwise,blue,CORE_DESTRUCTION,loss,6,11,3,165,1.0468426999868825,0,30
MATCH-038,strict,blue,CORE_DESTRUCTION,loss,6,3,3,45,0.2780961999669671,0,30
MATCH-039,stepwise,red,CORE_DESTRUCTION,loss,9,14,4,210,1.2893794999690726,0,30
MATCH-039,strict,red,TEAM_ELIMINATION,loss,7,3,3,45,0.2825038999435492,0,0
MATCH-039,bounded,red,TEAM_ELIMINATION,loss,7,3,3,45,0.30109429999720305,0,0
MATCH-040,strict,blue,CORE_DESTRUCTION,loss,6,3,3,45,0.34130309999454767,0,30
MATCH-040,bounded,blue,CORE_DESTRUCTION,loss,6,3,3,45,0.3235655000898987,0,30
MATCH-040,stepwise,blue,CORE_DESTRUCTION,loss,6,11,3,165,1.0358685000101104,0,30
MATCH-041,bounded,red,TEAM_ELIMINATION,loss,7,3,3,45,0.2887657000683248,0,0
MATCH-041,stepwise,red,CORE_DESTRUCTION,loss,9,14,4,210,1.2761747000040486,0,30
MATCH-041,strict,red,TEAM_ELIMINATION,loss,7,3,3,45,0.2889963000197895,0,0
MATCH-042,stepwise,blue,CORE_DESTRUCTION,loss,6,11,3,165,1.025094800046645,0,30
MATCH-042,strict,blue,CORE_DESTRUCTION,loss,6,3,3,45,0.33188190002692863,0,30
MATCH-042,bounded,blue,CORE_DESTRUCTION,loss,6,3,3,45,0.30908789997920394,0,30
MATCH-043,strict,red,TEAM_ELIMINATION,loss,7,3,3,45,0.29971649998333305,0,0
MATCH-043,bounded,red,TEAM_ELIMINATION,loss,7,3,3,45,0.3019342999905348,0,0
